kubectl annotate | global_flags:all-namespaces(-A):boolean, namespace(-n):string | command_flags:overwrite:boolean | all_flags_for_command:all-namespaces(-A):boolean, namespace(-n):string, overwrite:boolean
kubectl api-resources | global_flags:all-namespaces(-A):boolean, namespace(-n):string | command_flags:none | all_flags_for_command:all-namespaces(-A):boolean, namespace(-n):string
kubectl api-versions | global_flags:all-namespaces(-A):boolean, namespace(-n):string | command_flags:none | all_flags_for_command:all-namespaces(-A):boolean, namespace(-n):string
kubectl apply | global_flags:all-namespaces(-A):boolean, namespace(-n):string | command_flags:filename(-f):string | all_flags_for_command:all-namespaces(-A):boolean, filename(-f):string, namespace(-n):string
kubectl cluster-info | global_flags:all-namespaces(-A):boolean, namespace(-n):string | command_flags:none | all_flags_for_command:all-namespaces(-A):boolean, namespace(-n):string
kubectl cluster-info dump | global_flags:all-namespaces(-A):boolean, namespace(-n):string | command_flags:all-namespaces:boolean, namespaces:string, output-directory:string | all_flags_for_command:all-namespaces(-A):boolean, all-namespaces:boolean, namespace(-n):string, namespaces:string, output-directory:string
kubectl config | global_flags:all-namespaces(-A):boolean, namespace(-n):string | command_flags:none | all_flags_for_command:all-namespaces(-A):boolean, namespace(-n):string
kubectl config current-context | global_flags:all-namespaces(-A):boolean, namespace(-n):string | command_flags:none | all_flags_for_command:all-namespaces(-A):boolean, namespace(-n):string
kubectl config get-contexts | global_flags:all-namespaces(-A):boolean, namespace(-n):string | command_flags:none | all_flags_for_command:all-namespaces(-A):boolean, namespace(-n):string
kubectl config set-context | global_flags:all-namespaces(-A):boolean, namespace(-n):string | command_flags:current:boolean, namespace:string | all_flags_for_command:all-namespaces(-A):boolean, current:boolean, namespace(-n):string, namespace:string
kubectl config view | global_flags:all-namespaces(-A):boolean, namespace(-n):string | command_flags:minify:boolean, output(-o):string | all_flags_for_command:all-namespaces(-A):boolean, minify:boolean, namespace(-n):string, output(-o):string
kubectl create | global_flags:all-namespaces(-A):boolean, namespace(-n):string | command_flags:class:string, dry-run:enum{none,server,client}, filename(-f):string, image:string[], output(-o):string, port:string, replicas:string, rule:string[] | all_flags_for_command:all-namespaces(-A):boolean, class:string, dry-run:enum{none,server,client}, filename(-f):string, image:string[], namespace(-n):string, output(-o):string, port:string, replicas:string, rule:string[]
kubectl create deployment | global_flags:all-namespaces(-A):boolean, namespace(-n):string | command_flags:dry-run:enum{none,server,client}, image:string[], output(-o):string, port:string, replicas:string | all_flags_for_command:all-namespaces(-A):boolean, dry-run:enum{none,server,client}, image:string[], namespace(-n):string, output(-o):string, port:string, replicas:string
kubectl create ingress | global_flags:all-namespaces(-A):boolean, namespace(-n):string | command_flags:class:string, dry-run:enum{none,server,client}, output(-o):string, rule:string[] | all_flags_for_command:all-namespaces(-A):boolean, class:string, dry-run:enum{none,server,client}, namespace(-n):string, output(-o):string, rule:string[]
kubectl delete | global_flags:all-namespaces(-A):boolean, namespace(-n):string | command_flags:filename(-f):string, force:boolean, grace-period:string, selector(-l):string, wait:boolean | all_flags_for_command:all-namespaces(-A):boolean, filename(-f):string, force:boolean, grace-period:string, namespace(-n):string, selector(-l):string, wait:boolean
kubectl describe | global_flags:all-namespaces(-A):boolean, namespace(-n):string | command_flags:selector(-l):string | all_flags_for_command:all-namespaces(-A):boolean, namespace(-n):string, selector(-l):string
kubectl diff | global_flags:all-namespaces(-A):boolean, namespace(-n):string | command_flags:filename(-f):string | all_flags_for_command:all-namespaces(-A):boolean, filename(-f):string, namespace(-n):string
kubectl edit | global_flags:all-namespaces(-A):boolean, namespace(-n):string | command_flags:none | all_flags_for_command:all-namespaces(-A):boolean, namespace(-n):string
kubectl exec | global_flags:all-namespaces(-A):boolean, namespace(-n):string | command_flags:container(-c):string, stdin(-i):boolean, tty(-t):boolean | all_flags_for_command:all-namespaces(-A):boolean, container(-c):string, namespace(-n):string, stdin(-i):boolean, tty(-t):boolean
kubectl explain | global_flags:all-namespaces(-A):boolean, namespace(-n):string | command_flags:api-version:string, recursive(-R):boolean | all_flags_for_command:all-namespaces(-A):boolean, api-version:string, namespace(-n):string, recursive(-R):boolean
kubectl expose | global_flags:all-namespaces(-A):boolean, namespace(-n):string | command_flags:name:string, port:string, selector(-l):string, target-port:string, type:string | all_flags_for_command:all-namespaces(-A):boolean, name:string, namespace(-n):string, port:string, selector(-l):string, target-port:string, type:string
